r: 154, g: 118, b: 71
r: 167, g: 122, b: 78
r: 171, g: 125, b: 81
r: 170, g: 117, b: 78
r: 167, g: 114, b: 75
r: 169, g: 112, b: 72
r: 187, g: 129, b: 90
r: 171, g: 116, b: 78
r: 161, g: 105, b: 67
r: 177, g: 127, b: 85
r: 171, g: 121, b: 79
r: 161, g: 116, b: 72
r: 185, g: 139, b: 95
r: 150, g: 109, b: 68
r: 156, g: 115, b: 74
r: 193, g: 149, b: 112
r: 178, g: 134, b: 97
r: 143, g: 102, b: 61
r: 202, g: 161, b: 120
r: 246, g: 202, b: 164
r: 188, g: 144, b: 106
r: 131, g: 90, b: 49
r: 195, g: 154, b: 113
r: 204, g: 160, b: 122
r: 153, g: 109, b: 71
r: 183, g: 141, b: 101
r: 195, g: 154, b: 113
r: 138, g: 94, b: 56
r: 150, g: 106, b: 69
r: 179, g: 142, b: 107
r: 146, g: 108, b: 73
r: 137, g: 100, b: 67
r: 181, g: 143, b: 110
r: 182, g: 144, b: 109
r: 164, g: 127, b: 92
r: 182, g: 144, b: 111
r: 168, g: 130, b: 97
r: 170, g: 133, b: 97
r: 149, g: 112, b: 76
r: 133, g: 95, b: 62
r: 148, g: 110, b: 77
r: 157, g: 120, b: 85
r: 134, g: 96, b: 61
r: 147, g: 109, b: 76
r: 204, g: 166, b: 133
r: 165, g: 120, b: 76
r: 162, g: 117, b: 73
r: 174, g: 128, b: 87
r: 159, g: 113, b: 72
r: 163, g: 122, b: 81
r: 165, g: 124, b: 83
r: 137, g: 97, b: 60
r: 165, g: 125, b: 88
r: 160, g: 122, b: 85
r: 175, g: 138, b: 100
r: 127, g: 91, b: 57
r: 161, g: 126, b: 92
r: 206, g: 175, b: 142
r: 150, g: 119, b: 86
r: 135, g: 103, b: 73
r: 184, g: 152, b: 122
r: 159, g: 126, b: 89
r: 119, g: 86, b: 50
r: 151, g: 116, b: 80
r: 219, g: 183, b: 147
r: 134, g: 102, b: 65
r: 109, g: 76, b: 39
r: 210, g: 175, b: 141
r: 170, g: 134, b: 101
r: 173, g: 140, b: 103
r: 229, g: 196, b: 159
r: 219, g: 183, b: 149
r: 167, g: 132, b: 98
r: 163, g: 131, b: 94
r: 172, g: 139, b: 102
r: 163, g: 127, b: 92
r: 161, g: 126, b: 90
r: 159, g: 126, b: 91
r: 155, g: 122, b: 88
r: 208, g: 174, b: 142
r: 168, g: 135, b: 103
r: 145, g: 112, b: 77
